┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins ┃ Disconnected ┃ Signal Pins ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ ALU            │ VPWR       │              │ A[0]        │ statusIn[1]  │
│                │ VGND       │              │ A[10]       │ statusIn[2]  │
│                │            │              │ A[11]       │              │
│                │            │              │ A[12]       │              │
│                │            │              │ A[13]       │              │
│                │            │              │ A[14]       │              │
│                │            │              │ A[15]       │              │
│                │            │              │ A[16]       │              │
│                │            │              │ A[17]       │              │
│                │            │              │ A[18]       │              │
│                │            │              │ A[19]       │              │
│                │            │              │ A[1]        │              │
│                │            │              │ A[20]       │              │
│                │            │              │ A[21]       │              │
│                │            │              │ A[22]       │              │
│                │            │              │ A[23]       │              │
│                │            │              │ A[24]       │              │
│                │            │              │ A[25]       │              │
│                │            │              │ A[26]       │              │
│                │            │              │ A[27]       │              │
│                │            │              │ A[28]       │              │
│                │            │              │ A[29]       │              │
│                │            │              │ A[2]        │              │
│                │            │              │ A[30]       │              │
│                │            │              │ A[31]       │              │
│                │            │              │ A[3]        │              │
│                │            │              │ A[4]        │              │
│                │            │              │ A[5]        │              │
│                │            │              │ A[6]        │              │
│                │            │              │ A[7]        │              │
│                │            │              │ A[8]        │              │
│                │            │              │ A[9]        │              │
│                │            │              │ B[0]        │              │
│                │            │              │ B[10]       │              │
│                │            │              │ B[11]       │              │
│                │            │              │ B[12]       │              │
│                │            │              │ B[13]       │              │
│                │            │              │ B[14]       │              │
│                │            │              │ B[15]       │              │
│                │            │              │ B[16]       │              │
│                │            │              │ B[17]       │              │
│                │            │              │ B[18]       │              │
│                │            │              │ B[19]       │              │
│                │            │              │ B[1]        │              │
│                │            │              │ B[20]       │              │
│                │            │              │ B[21]       │              │
│                │            │              │ B[22]       │              │
│                │            │              │ B[23]       │              │
│                │            │              │ B[24]       │              │
│                │            │              │ B[25]       │              │
│                │            │              │ B[26]       │              │
│                │            │              │ B[27]       │              │
│                │            │              │ B[28]       │              │
│                │            │              │ B[29]       │              │
│                │            │              │ B[2]        │              │
│                │            │              │ B[30]       │              │
│                │            │              │ B[31]       │              │
│                │            │              │ B[3]        │              │
│                │            │              │ B[4]        │              │
│                │            │              │ B[5]        │              │
│                │            │              │ B[6]        │              │
│                │            │              │ B[7]        │              │
│                │            │              │ B[8]        │              │
│                │            │              │ B[9]        │              │
│                │            │              │ opCode[0]   │              │
│                │            │              │ opCode[1]   │              │
│                │            │              │ opCode[2]   │              │
│                │            │              │ statusIn[0] │              │
│                │            │              │ statusOut   │              │
│                │            │              │ y[0]        │              │
│                │            │              │ y[10]       │              │
│                │            │              │ y[11]       │              │
│                │            │              │ y[12]       │              │
│                │            │              │ y[13]       │              │
│                │            │              │ y[14]       │              │
│                │            │              │ y[15]       │              │
│                │            │              │ y[16]       │              │
│                │            │              │ y[17]       │              │
│                │            │              │ y[18]       │              │
│                │            │              │ y[19]       │              │
│                │            │              │ y[1]        │              │
│                │            │              │ y[20]       │              │
│                │            │              │ y[21]       │              │
│                │            │              │ y[22]       │              │
│                │            │              │ y[23]       │              │
│                │            │              │ y[24]       │              │
│                │            │              │ y[25]       │              │
│                │            │              │ y[26]       │              │
│                │            │              │ y[27]       │              │
│                │            │              │ y[28]       │              │
│                │            │              │ y[29]       │              │
│                │            │              │ y[2]        │              │
│                │            │              │ y[30]       │              │
│                │            │              │ y[31]       │              │
│                │            │              │ y[3]        │              │
│                │            │              │ y[4]        │              │
│                │            │              │ y[5]        │              │
│                │            │              │ y[6]        │              │
│                │            │              │ y[7]        │              │
│                │            │              │ y[8]        │              │
│                │            │              │ y[9]        │              │
└────────────────┴────────────┴──────────────┴─────────────┴──────────────┘
