Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_165,VGND,li1,82.1100,87.0400,0.000059
FILLER_27_116,VGND,li1,59.1100,87.0400,0.000049
FILLER_27_113,VGND,li1,58.1900,87.0400,0.000048
FILLER_27_103,VGND,li1,53.1300,87.0400,0.000045
FILLER_27_85,VGND,li1,45.0800,87.0400,0.000038
FILLER_27_57,VGND,li1,32.4300,87.0400,0.000023
FILLER_27_55,VGND,li1,31.0500,87.0400,0.000023
FILLER_27_29,VGND,li1,19.3200,87.0400,0.000015
FILLER_27_26,VGND,li1,17.9400,87.0400,0.000015
FILLER_27_23,VGND,li1,16.7900,87.0400,0.000015
FILLER_27_20,VGND,li1,15.4100,87.0400,0.000015
FILLER_27_12,VGND,li1,11.7300,87.0400,0.000015
FILLER_27_9,VGND,li1,10.3500,87.0400,0.000015
FILLER_27_6,VGND,li1,8.9700,87.0400,0.000015
FILLER_27_3,VGND,li1,7.5900,87.0400,0.000015
FILLER_26_168,VGND,li1,83.0300,81.6000,0.000060
FILLER_26_157,VGND,li1,78.4300,81.6000,0.000059
FILLER_26_85,VGND,li1,44.8500,81.6000,0.000039
FILLER_26_75,VGND,li1,40.4800,81.6000,0.000035
FILLER_26_57,VGND,li1,32.4300,81.6000,0.000026
FILLER_26_29,VGND,li1,19.3200,81.6000,0.000019
FILLER_26_22,VGND,li1,15.8700,81.6000,0.000020
FILLER_26_19,VGND,li1,14.9500,81.6000,0.000020
FILLER_26_11,VGND,li1,11.2700,81.6000,0.000021
FILLER_25_169,VGND,li1,83.4900,81.6000,0.000060
FILLER_25_167,VGND,li1,82.5700,81.6000,0.000060
FILLER_25_145,VGND,li1,72.4500,81.6000,0.000057
FILLER_25_142,VGND,li1,71.5300,81.6000,0.000057
FILLER_25_132,VGND,li1,66.7000,81.6000,0.000054
FILLER_25_129,VGND,li1,65.5500,81.6000,0.000054
FILLER_25_113,VGND,li1,57.7300,81.6000,0.000049
FILLER_25_76,VGND,li1,40.9400,81.6000,0.000035
FILLER_25_57,VGND,li1,32.4300,81.6000,0.000026
FILLER_25_53,VGND,li1,30.5900,81.6000,0.000024
FILLER_25_30,VGND,li1,19.5500,81.6000,0.000019
FILLER_25_27,VGND,li1,18.6300,81.6000,0.000019
FILLER_25_19,VGND,li1,14.4900,81.6000,0.000021
FILLER_24_166,VGND,li1,82.3400,76.1600,0.000056
FILLER_24_126,VGND,li1,63.9400,76.1600,0.000048
FILLER_24_78,VGND,li1,41.6300,76.1600,0.000032
FILLER_24_47,VGND,li1,27.3700,76.1600,0.000018
FILLER_24_34,VGND,li1,21.3900,76.1600,0.000017
FILLER_24_14,VGND,li1,12.1900,76.1600,0.000019
FILLER_24_11,VGND,li1,11.2700,76.1600,0.000019
FILLER_23_169,VGND,li1,83.4900,76.1600,0.000057
FILLER_23_141,VGND,li1,70.6100,76.1600,0.000052
FILLER_23_123,VGND,li1,62.3300,76.1600,0.000048
FILLER_23_104,VGND,li1,53.5900,76.1600,0.000043
FILLER_23_84,VGND,li1,44.8500,76.1600,0.000036
FILLER_23_81,VGND,li1,43.4700,76.1600,0.000034
FILLER_23_72,VGND,li1,38.8700,76.1600,0.000029
FILLER_23_54,VGND,li1,30.8200,76.1600,0.000021
FILLER_23_51,VGND,li1,29.6700,76.1600,0.000021
FILLER_23_48,VGND,li1,28.2900,76.1600,0.000018
FILLER_23_35,VGND,li1,21.8500,76.1600,0.000017
FILLER_23_32,VGND,li1,20.9300,76.1600,0.000017
FILLER_23_16,VGND,li1,13.3400,76.1600,0.000019
FILLER_22_168,VGND,li1,83.0300,70.7200,0.000061
FILLER_22_144,VGND,li1,71.9900,70.7200,0.000058
FILLER_22_126,VGND,li1,63.7100,70.7200,0.000053
FILLER_22_123,VGND,li1,62.7900,70.7200,0.000053
FILLER_22_120,VGND,li1,61.4100,70.7200,0.000051
FILLER_22_117,VGND,li1,60.0300,70.7200,0.000051
FILLER_22_114,VGND,li1,58.6500,70.7200,0.000050
FILLER_22_98,VGND,li1,51.0600,70.7200,0.000044
FILLER_22_91,VGND,li1,47.8400,70.7200,0.000043
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000039
FILLER_22_80,VGND,li1,43.0100,70.7200,0.000038
FILLER_22_68,VGND,li1,37.4900,70.7200,0.000033
FILLER_22_56,VGND,li1,31.9700,70.7200,0.000027
FILLER_22_39,VGND,li1,24.1500,70.7200,0.000018
FILLER_22_36,VGND,li1,22.7700,70.7200,0.000018
FILLER_22_20,VGND,li1,14.9500,70.7200,0.000021
FILLER_22_3,VGND,li1,7.1300,70.7200,0.000022
FILLER_21_162,VGND,li1,80.2700,70.7200,0.000061
FILLER_21_159,VGND,li1,79.3500,70.7200,0.000061
FILLER_21_144,VGND,li1,71.9900,70.7200,0.000058
FILLER_21_141,VGND,li1,71.0700,70.7200,0.000057
FILLER_21_129,VGND,li1,65.5500,70.7200,0.000054
FILLER_21_126,VGND,li1,64.1700,70.7200,0.000054
FILLER_21_119,VGND,li1,60.7200,70.7200,0.000051
FILLER_21_116,VGND,li1,59.5700,70.7200,0.000050
FILLER_21_113,VGND,li1,58.1900,70.7200,0.000050
FILLER_21_105,VGND,li1,54.0500,70.7200,0.000047
FILLER_21_102,VGND,li1,53.1300,70.7200,0.000047
FILLER_21_93,VGND,li1,48.9900,70.7200,0.000043
FILLER_21_81,VGND,li1,43.2400,70.7200,0.000038
FILLER_21_78,VGND,li1,42.0900,70.7200,0.000038
FILLER_21_57,VGND,li1,31.9700,70.7200,0.000027
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000024
FILLER_20_164,VGND,li1,81.6500,65.2800,0.000058
FILLER_20_141,VGND,li1,70.8400,65.2800,0.000054
FILLER_20_139,VGND,li1,69.6900,65.2800,0.000053
FILLER_20_136,VGND,li1,68.7700,65.2800,0.000053
FILLER_20_113,VGND,li1,57.9600,65.2800,0.000045
FILLER_20_110,VGND,li1,56.8100,65.2800,0.000045
FILLER_20_107,VGND,li1,55.4300,65.2800,0.000043
FILLER_20_104,VGND,li1,54.0500,65.2800,0.000043
FILLER_20_88,VGND,li1,46.2300,65.2800,0.000037
FILLER_20_85,VGND,li1,45.3100,65.2800,0.000034
FILLER_20_83,VGND,li1,43.9300,65.2800,0.000034
FILLER_20_80,VGND,li1,43.0100,65.2800,0.000032
FILLER_20_77,VGND,li1,41.6300,65.2800,0.000032
FILLER_20_55,VGND,li1,31.5100,65.2800,0.000021
FILLER_20_52,VGND,li1,30.1300,65.2800,0.000021
