Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_27_165,VPWR,li1,82.1100,84.3200,1.799900
FILLER_27_116,VPWR,li1,59.1100,84.3200,1.799916
FILLER_27_113,VPWR,li1,58.1900,84.3200,1.799917
FILLER_27_103,VPWR,li1,53.1300,84.3200,1.799922
FILLER_27_85,VPWR,li1,45.0800,84.3200,1.799934
FILLER_27_57,VPWR,li1,32.4300,84.3200,1.799957
FILLER_27_55,VPWR,li1,31.0500,84.3200,1.799957
FILLER_27_29,VPWR,li1,19.3200,84.3200,1.799976
FILLER_27_26,VPWR,li1,17.9400,84.3200,1.799976
FILLER_27_23,VPWR,li1,16.7900,84.3200,1.799976
FILLER_27_20,VPWR,li1,15.4100,84.3200,1.799976
FILLER_27_12,VPWR,li1,11.7300,84.3200,1.799975
FILLER_27_9,VPWR,li1,10.3500,84.3200,1.799975
FILLER_27_6,VPWR,li1,8.9700,84.3200,1.799975
FILLER_27_3,VPWR,li1,7.5900,84.3200,1.799975
FILLER_26_168,VPWR,li1,83.0300,84.3200,1.799900
FILLER_26_157,VPWR,li1,78.4300,84.3200,1.799901
FILLER_26_85,VPWR,li1,44.8500,84.3200,1.799934
FILLER_26_75,VPWR,li1,40.4800,84.3200,1.799940
FILLER_26_57,VPWR,li1,32.4300,84.3200,1.799957
FILLER_26_29,VPWR,li1,19.3200,84.3200,1.799976
FILLER_26_22,VPWR,li1,15.8700,84.3200,1.799976
FILLER_26_19,VPWR,li1,14.9500,84.3200,1.799976
FILLER_26_11,VPWR,li1,11.2700,84.3200,1.799975
FILLER_25_169,VPWR,li1,83.4900,78.8800,1.799946
FILLER_25_167,VPWR,li1,82.5700,78.8800,1.799946
FILLER_25_145,VPWR,li1,72.4500,78.8800,1.799948
FILLER_25_142,VPWR,li1,71.5300,78.8800,1.799948
FILLER_25_132,VPWR,li1,66.7000,78.8800,1.799951
FILLER_25_129,VPWR,li1,65.5500,78.8800,1.799951
FILLER_25_113,VPWR,li1,57.7300,78.8800,1.799955
FILLER_25_76,VPWR,li1,40.9400,78.8800,1.799966
FILLER_25_57,VPWR,li1,32.4300,78.8800,1.799974
FILLER_25_53,VPWR,li1,30.5900,78.8800,1.799976
FILLER_25_30,VPWR,li1,19.5500,78.8800,1.799983
FILLER_25_27,VPWR,li1,18.6300,78.8800,1.799983
FILLER_25_19,VPWR,li1,14.4900,78.8800,1.799982
FILLER_24_166,VPWR,li1,82.3400,78.8800,1.799946
FILLER_24_126,VPWR,li1,63.9400,78.8800,1.799952
FILLER_24_78,VPWR,li1,41.6300,78.8800,1.799966
FILLER_24_47,VPWR,li1,27.3700,78.8800,1.799978
FILLER_24_34,VPWR,li1,21.3900,78.8800,1.799984
FILLER_24_14,VPWR,li1,12.1900,78.8800,1.799981
FILLER_24_11,VPWR,li1,11.2700,78.8800,1.799981
FILLER_23_169,VPWR,li1,83.4900,73.4400,1.799930
FILLER_23_141,VPWR,li1,70.6100,73.4400,1.799936
FILLER_23_123,VPWR,li1,62.3300,73.4400,1.799941
FILLER_23_104,VPWR,li1,53.5900,73.4400,1.799947
FILLER_23_84,VPWR,li1,44.8500,73.4400,1.799955
FILLER_23_81,VPWR,li1,43.4700,73.4400,1.799957
FILLER_23_72,VPWR,li1,38.8700,73.4400,1.799963
FILLER_23_54,VPWR,li1,30.8200,73.4400,1.799971
FILLER_23_51,VPWR,li1,29.6700,73.4400,1.799974
FILLER_23_48,VPWR,li1,28.2900,73.4400,1.799974
FILLER_23_35,VPWR,li1,21.8500,73.4400,1.799984
FILLER_23_32,VPWR,li1,20.9300,73.4400,1.799984
FILLER_23_16,VPWR,li1,13.3400,73.4400,1.799982
FILLER_22_168,VPWR,li1,83.0300,73.4400,1.799930
FILLER_22_144,VPWR,li1,71.9900,73.4400,1.799935
FILLER_22_126,VPWR,li1,63.7100,73.4400,1.799941
FILLER_22_123,VPWR,li1,62.7900,73.4400,1.799941
FILLER_22_120,VPWR,li1,61.4100,73.4400,1.799942
FILLER_22_117,VPWR,li1,60.0300,73.4400,1.799942
FILLER_22_114,VPWR,li1,58.6500,73.4400,1.799944
FILLER_22_98,VPWR,li1,51.0600,73.4400,1.799951
FILLER_22_91,VPWR,li1,47.8400,73.4400,1.799952
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799957
FILLER_22_80,VPWR,li1,43.0100,73.4400,1.799957
FILLER_22_68,VPWR,li1,37.4900,73.4400,1.799963
FILLER_22_56,VPWR,li1,31.9700,73.4400,1.799971
FILLER_22_39,VPWR,li1,24.1500,73.4400,1.799981
FILLER_22_36,VPWR,li1,22.7700,73.4400,1.799981
FILLER_22_20,VPWR,li1,14.9500,73.4400,1.799982
FILLER_22_3,VPWR,li1,7.1300,73.4400,1.799982
FILLER_21_162,VPWR,li1,80.2700,68.0000,1.799933
FILLER_21_159,VPWR,li1,79.3500,68.0000,1.799933
FILLER_21_144,VPWR,li1,71.9900,68.0000,1.799936
FILLER_21_141,VPWR,li1,71.0700,68.0000,1.799936
FILLER_21_129,VPWR,li1,65.5500,68.0000,1.799940
FILLER_21_126,VPWR,li1,64.1700,68.0000,1.799940
FILLER_21_119,VPWR,li1,60.7200,68.0000,1.799944
FILLER_21_116,VPWR,li1,59.5700,68.0000,1.799944
FILLER_21_113,VPWR,li1,58.1900,68.0000,1.799945
FILLER_21_105,VPWR,li1,54.0500,68.0000,1.799948
FILLER_21_102,VPWR,li1,53.1300,68.0000,1.799948
FILLER_21_93,VPWR,li1,48.9900,68.0000,1.799952
FILLER_21_81,VPWR,li1,43.2400,68.0000,1.799958
FILLER_21_78,VPWR,li1,42.0900,68.0000,1.799958
FILLER_21_57,VPWR,li1,31.9700,68.0000,1.799969
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799969
FILLER_20_164,VPWR,li1,81.6500,68.0000,1.799932
FILLER_20_141,VPWR,li1,70.8400,68.0000,1.799936
FILLER_20_139,VPWR,li1,69.6900,68.0000,1.799937
FILLER_20_136,VPWR,li1,68.7700,68.0000,1.799937
FILLER_20_113,VPWR,li1,57.9600,68.0000,1.799945
FILLER_20_110,VPWR,li1,56.8100,68.0000,1.799947
FILLER_20_107,VPWR,li1,55.4300,68.0000,1.799947
FILLER_20_104,VPWR,li1,54.0500,68.0000,1.799948
FILLER_20_88,VPWR,li1,46.2300,68.0000,1.799954
FILLER_20_85,VPWR,li1,45.3100,68.0000,1.799956
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.799956
FILLER_20_80,VPWR,li1,43.0100,68.0000,1.799958
FILLER_20_77,VPWR,li1,41.6300,68.0000,1.799958
FILLER_20_55,VPWR,li1,31.5100,68.0000,1.799969
FILLER_20_52,VPWR,li1,30.1300,68.0000,1.799972
FILLER_20_49,VPWR,li1,28.7500,68.0000,1.799972
FILLER_20_41,VPWR,li1,24.8400,68.0000,1.799976
FILLER_20_19,VPWR,li1,14.4900,68.0000,1.799980
FILLER_20_16,VPWR,li1,13.5700,68.0000,1.799979
FILLER_19_181,VPWR,li1,89.0100,62.5600,1.799947
FILLER_19_137,VPWR,li1,68.7700,62.5600,1.799952
FILLER_19_113,VPWR,li1,57.7300,62.5600,1.799956
FILLER_19_96,VPWR,li1,50.3700,62.5600,1.799961
FILLER_19_93,VPWR,li1,48.9900,62.5600,1.799961
FILLER_19_78,VPWR,li1,41.8600,62.5600,1.799966
FILLER_19_70,VPWR,li1,37.9500,62.5600,1.799969
FILLER_19_67,VPWR,li1,37.0300,62.5600,1.799971
FILLER_19_64,VPWR,li1,35.6500,62.5600,1.799971
FILLER_19_43,VPWR,li1,25.9900,62.5600,1.799981
FILLER_19_40,VPWR,li1,24.6100,62.5600,1.799981
FILLER_19_11,VPWR,li1,11.0400,62.5600,1.799983
FILLER_18_180,VPWR,li1,88.7800,62.5600,1.799947
FILLER_18_157,VPWR,li1,77.9700,62.5600,1.799949
FILLER_18_134,VPWR,li1,67.3900,62.5600,1.799952
FILLER_18_131,VPWR,li1,66.4700,62.5600,1.799952
FILLER_18_128,VPWR,li1,65.0900,62.5600,1.799952
FILLER_18_118,VPWR,li1,60.4900,62.5600,1.799955
FILLER_18_115,VPWR,li1,59.1100,62.5600,1.799955
FILLER_18_98,VPWR,li1,51.2900,62.5600,1.799959
FILLER_18_88,VPWR,li1,46.4600,62.5600,1.799962
FILLER_18_85,VPWR,li1,45.3100,62.5600,1.799964
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799964
FILLER_18_80,VPWR,li1,43.0100,62.5600,1.799966
FILLER_18_70,VPWR,li1,38.1800,62.5600,1.799969
FILLER_18_67,VPWR,li1,37.0300,62.5600,1.799971
FILLER_18_43,VPWR,li1,25.5300,62.5600,1.799981
FILLER_18_40,VPWR,li1,24.6100,62.5600,1.799981
FILLER_18_32,VPWR,li1,20.4700,62.5600,1.799985
FILLER_18_29,VPWR,li1,19.5500,62.5600,1.799984
FILLER_18_26,VPWR,li1,17.9400,62.5600,1.799984
FILLER_17_181,VPWR,li1,89.0100,57.1200,1.799934
FILLER_17_178,VPWR,li1,88.0900,57.1200,1.799934
FILLER_17_138,VPWR,li1,69.2300,57.1200,1.799940
FILLER_17_135,VPWR,li1,68.3100,57.1200,1.799940
